S Ladda,0,0,1
VR Aaron,0,0,1
KJ Abbott,13,8,1
AD Nath,20,27,1
MA Agarwal,27,25,1
HM Amla,157,119,1
Ankit Sharma,3,3,1
Anureet Singh,0,0,1
S Aravind,0,0,1
A Ashish Reddy,47,29,1
M Ashwin,0,1,1
R Ashwin,41,38,1
GJ Bailey,84,98,1
F Behardien,14,13,1
R Bhatia,34,20,1
SW Billings,88,64,1
STR Binny,63,39,1
Bipul Sharma,51,25,1
SM Boland,0,0,1
TA Boult,0,0,1
CR Brathwaite,83,38,1
DJ Bravo,99,82,1
JJ Bumrah,8,11,1
JC Buttler,255,184,1
KC Cariappa,13,11,1
YS Chahal,0,0,1
DL Chahar,0,0,1
UBT Chand,0,4,1
PP Chawla,27,26,1
NM Coulter-Nile,9,14,1
BCJ Cutting,65,34,1
Q de Kock,445,327,1
AB de Villiers,687,407,1
R Dhawan,14,6,1
S Dhawan,501,429,1
MS Dhoni,284,210,1
AB Dinda,0,0,1
JP Duminy,191,156,1
F du Plessis,206,162,1
ER Dwivedi,24,14,1
JP Faulkner,77,59,1
AJ Finch,393,299,1
G Gambhir,501,411,1
CH Gayle,227,150,1
S Gopal,2,16,1
MJ Guptill,57,55,1
Gurkeerat Singh,113,86,1
PSP Handscomb,6,12,1
Harbhajan Singh,92,84,1
JW Hastings,0,0,1
TM Head,54,40,1
MC Henriques,182,158,1
GB Hogg,0,0,1
JO Holder,22,19,1
DJ Hooda,144,121,1
Imran Tahir,5,7,1
Iqbal Abdulla,37,27,1
Ishan Kishan,42,41,1
SS Iyer,30,43,1
RA Jadeja,191,177,1
KM Jadhav,42,32,1
SB Jakati,1,2,1
MG Johnson,5,14,1
CJ Jordan,3,4,1
KD Karthik,335,266,1
S Kaushik,0,1,1
SN Khan,66,31,1
Z Khan,6,13,1
UT Khawaja,127,100,1
V Kohli,973,640,1
Kuldeep Yadav,0,0,1
DS Kulkarni,27,16,1
B Kumar,43,27,1
P Kumar,24,26,1
CA Lynn,25,22,1
MJ McClenaghan,34,23,1
BB McCullum,354,262,1
Mandeep Singh,0,0,1
MR Marsh,7,11,1
SE Marsh,159,134,1
GJ Maxwell,179,124,1
DA Miller,161,131,1
AF Milne,0,0,1
A Mishra,4,14,1
Mohammed Shami,2,4,1
EJG Morgan,123,105,1
JA Morkel,16,9,1
M Morkel,1,1,1
CH Morris,195,109,1
C Munro,30,30,1
Mustafizur Rahman,0,0,1
S Nadeem,1,5,1
NS Naik,23,31,1
KK Nair,357,297,1
SP Narine,7,13,1
P Negi,57,59,1
A Nehra,1,1,1
NV Ojha,136,138,1
MK Pandey,248,183,1
HH Pandya,44,63,1
KH Pandya,237,124,1
RR Pant,198,152,1
Parvez Rasool,10,9,1
AR Patel,111,77,1
HV Patel,0,0,1
PA Patel,177,152,1
IK Pathan,11,13,1
YK Pathan,361,248,1
NLTC Perera,150,93,1
KP Pietersen,73,61,1
KA Pollard,207,144,1
AM Rahane,480,379,1
KL Rahul,397,271,1
SK Raina,399,312,1
AS Rajpoot,0,0,1
N Rana,104,75,1
AT Rayudu,334,278,1
KW Richardson,1,1,1
AD Russell,188,114,1
Sachin Baby,119,79,1
WP Saha,270,212,1
P Sahu,19,13,1
SV Samson,291,259,1
Sandeep Sharma,8,9,1
PJ Sangwan,0,0,1
R Sathish,24,24,1
T Shamsi,0,0,1
Shakib Al Hasan,114,106,1
I Sharma,0,0,1
KV Sharma,36,30,1
MM Sharma,32,26,1
RG Sharma,489,368,1
LMP Simmons,8,8,1
RP Singh,0,0,1
DR Smith,324,221,1
SPD Smith,270,176,1
TG Southee,30,19,1
BB Sran,4,4,1
DW Steyn,1,2,1
MP Stoinis,146,108,1
J Suchith,0,0,1
Swapnil Singh,0,1,1
PV Tambe,7,19,1
AP Tare,8,15,1
SS Tiwary,170,141,1
JD Unadkat,0,0,1
RV Uthappa,394,289,1
M Vijay,453,364,1
R Vinay Kumar,13,12,1
M Vohra,161,131,1
DA Warner,848,560,1
SR Watson,179,134,1
D Wiese,5,4,1
KS Williamson,124,122,1
J Yadav,6,10,1
SA Yadav,182,143,1
UT Yadav,9,5,1
Yuvraj Singh,236,179,1
A Zampa,0,1,1
