S Ladda,0,0
VR Aaron,0,0
KJ Abbott,13,8
AD Nath,20,27
MA Agarwal,27,25
HM Amla,157,119
Ankit Sharma,3,3
Anureet Singh,0,0
S Aravind,0,0
A Ashish Reddy,47,29
M Ashwin,0,1
R Ashwin,41,38
GJ Bailey,84,98
F Behardien,14,13
R Bhatia,34,20
SW Billings,88,64
STR Binny,63,39
Bipul Sharma,51,25
SM Boland,0,0
TA Boult,0,0
CR Brathwaite,83,38
DJ Bravo,99,82
JJ Bumrah,8,11
JC Buttler,255,184
KC Cariappa,13,11
YS Chahal,0,0
DL Chahar,0,0
UBT Chand,0,4
PP Chawla,27,26
NM Coulter-Nile,9,14
BCJ Cutting,65,34
Q de Kock,445,327
AB de Villiers,687,407
R Dhawan,14,6
S Dhawan,501,429
MS Dhoni,284,210
AB Dinda,0,0
JP Duminy,191,156
F du Plessis,206,162
ER Dwivedi,24,14
JP Faulkner,77,59
AJ Finch,393,299
G Gambhir,501,411
CH Gayle,227,150
S Gopal,2,16
MJ Guptill,57,55
Gurkeerat Singh,113,86
PSP Handscomb,6,12
Harbhajan Singh,92,84
JW Hastings,0,0
TM Head,54,40
MC Henriques,182,158
GB Hogg,0,0
JO Holder,22,19
DJ Hooda,144,121
Imran Tahir,5,7
Iqbal Abdulla,37,27
Ishan Kishan,42,41
SS Iyer,30,43
RA Jadeja,191,177
KM Jadhav,42,32
SB Jakati,1,2
MG Johnson,5,14
CJ Jordan,3,4
KD Karthik,335,266
S Kaushik,0,1
SN Khan,66,31
Z Khan,6,13
UT Khawaja,127,100
V Kohli,973,640
Kuldeep Yadav,0,0
DS Kulkarni,27,16
B Kumar,43,27
P Kumar,24,26
CA Lynn,25,22
MJ McClenaghan,34,23
BB McCullum,354,262
Mandeep Singh,0,0
MR Marsh,7,11
SE Marsh,159,134
GJ Maxwell,179,124
DA Miller,161,131
AF Milne,0,0
A Mishra,4,14
Mohammed Shami,2,4
EJG Morgan,123,105
JA Morkel,16,9
M Morkel,1,1
CH Morris,195,109
C Munro,30,30
Mustafizur Rahman,0,0
S Nadeem,1,5
NS Naik,23,31
KK Nair,357,297
SP Narine,7,13
P Negi,57,59
A Nehra,1,1
NV Ojha,136,138
MK Pandey,248,183
HH Pandya,44,63
KH Pandya,237,124
RR Pant,198,152
Parvez Rasool,10,9
AR Patel,111,77
HV Patel,0,0
PA Patel,177,152
IK Pathan,11,13
YK Pathan,361,248
NLTC Perera,150,93
KP Pietersen,73,61
KA Pollard,207,144
AM Rahane,480,379
KL Rahul,397,271
SK Raina,399,312
AS Rajpoot,0,0
N Rana,104,75
AT Rayudu,334,278
KW Richardson,1,1
AD Russell,188,114
Sachin Baby,119,79
WP Saha,270,212
P Sahu,19,13
SV Samson,291,259
Sandeep Sharma,8,9
PJ Sangwan,0,0
R Sathish,24,24
T Shamsi,0,0
Shakib Al Hasan,114,106
I Sharma,0,0
KV Sharma,36,30
MM Sharma,32,26
RG Sharma,489,368
LMP Simmons,8,8
RP Singh,0,0
DR Smith,324,221
SPD Smith,270,176
TG Southee,30,19
BB Sran,4,4
DW Steyn,1,2
MP Stoinis,146,108
J Suchith,0,0
Swapnil Singh,0,1
PV Tambe,7,19
AP Tare,8,15
SS Tiwary,170,141
JD Unadkat,0,0
RV Uthappa,394,289
M Vijay,453,364
R Vinay Kumar,13,12
M Vohra,161,131
DA Warner,848,560
SR Watson,179,134
D Wiese,5,4
KS Williamson,124,122
J Yadav,6,10
SA Yadav,182,143
UT Yadav,9,5
Yuvraj Singh,236,179
A Zampa,0,1
