AR Bawne,0,0
VR Aaron,7,8.15
AD Nath,0,0
MA Agarwal,0,0
SS Agarwal,1,10.5
HM Amla,0,0
CJ Anderson,3,9.87
Ankit Sharma,0,16
Ankit Soni,2,7.92
Anureet Singh,0,13
S Aravind,5,9.01
Avesh Khan,1,5.75
S Badree,9,7.52
Basil Thampi,11,9.49
R Bhatia,2,7.85
SW Billings,0,0
STR Binny,4,8.33
Bipul Sharma,3,7.89
TA Boult,5,9.06
CR Brathwaite,1,11.16
DM Bravo,0,0
JJ Bumrah,20,7.41
JC Buttler,0,0
KC Cariappa,4,8.46
YS Chahal,14,7.65
DL Chahar,1,10.57
RD Chahar,2,8.28
PP Chawla,6,8.95
A Choudhary,5,8.55
DT Christian,11,7.45
NM Coulter-Nile,15,8.04
PJ Cummins,15,8.07
BCJ Cutting,1,9.71
C de Grandhomme,4,8.43
AB de Villiers,0,0
S Dhawan,0,0
MS Dhoni,0,0
AB Dinda,1,11.9
F du Plessis,0,0
JP Faulkner,6,9.79
LH Ferguson,3,7.15
AJ Finch,0,0
G Gambhir,0,0
CH Gayle,0,0
MS Gony,0,16
MJ Guptill,0,0
Gurkeerat Singh,0,0
Harbhajan Singh,8,6.48
TM Head,2,10.12
MC Henriques,1,10.33
MJ Henry,1,14.2
DJ Hooda,2,10.5
Imran Tahir,18,7.85
Iqbal Abdulla,2,11
Ishan Kishan,0,0
SS Iyer,0,0
SP Jackson,0,0
RA Jadeja,5,9.18
KM Jadhav,0,0
IR Jaggi,0,0
SB Jakati,0,10.4
MG Johnson,7,7.05
CJ Jordan,1,9
KD Karthik,0,0
S Kaul,16,8.41
S Kaushik,0,9.54
Z Khan,10,7.79
V Kohli,0,0
Kuldeep Yadav,12,8.29
DS Kulkarni,3,9.18
B Kumar,26,7.05
P Kumar,6,9.15
CA Lynn,0,0
MJ McClenaghan,19,9.38
BB McCullum,0,0
SL Malinga,11,8.52
Mandeep Singh,0,0
SE Marsh,0,0
AD Mathews,0,11.2
GJ Maxwell,7,6.57
DA Miller,0,0
TS Mills,5,8.57
AF Milne,3,9.57
A Mishra,10,8.83
Mohammad Nabi,2,5.27
Mohammed Shami,5,9.34
Mohammed Siraj,10,9.21
EJG Morgan,0,0
CH Morris,12,7.74
Mustafizur Rahman,0,12.75
S Nadeem,6,6.67
KK Nair,0,0
SP Narine,10,6.98
T Natarajan,2,9.07
P Negi,16,6.12
A Nehra,8,9.3
NV Ojha,0,0
MK Pandey,0,0
HH Pandya,6,8.19
KH Pandya,10,6.82
RR Pant,0,0
AR Patel,15,7.54
HV Patel,3,10.75
MM Patel,1,8.14
PA Patel,0,0
IK Pathan,0,13
YK Pathan,1,10.25
KA Pollard,0,16.36
K Rabada,6,8.81
AM Rahane,0,0
SK Raina,1,8.5
AS Rajpoot,4,7.64
N Rana,0,0
Rashid Khan,17,6.62
AT Rayudu,0,0
JJ Roy,0,0
Sachin Baby,0,0
WP Saha,0,0
SV Samson,0,0
MN Samuels,0,11.33
Sandeep Sharma,17,8.29
PJ Sangwan,5,10.05
V Shankar,0,0
Shakib Al Hasan,0,10.33
I Sharma,0,9.94
KV Sharma,13,6.97
MM Sharma,13,8.97
RG Sharma,0,0
LMP Simmons,0,0
NB Singh,1,3.75
DR Smith,2,11.38
SPD Smith,0,0
TG Southee,3,9.6
BB Sran,0,14.5
B Stanlake,2,8.75
MP Stoinis,2,10.47
BA Stokes,12,7.18
Swapnil Singh,1,8.71
AP Tare,0,0
Tejas Baroka,0,9.42
R Tewatia,3,5.44
SN Thakur,11,8.25
MK Tiwary,0,0
SS Tiwary,0,0
RA Tripathi,0,12
AJ Tye,12,6.71
JD Unadkat,24,7.02
RV Uthappa,0,0
R Vinay Kumar,2,10.33
Vishnu Vinod,0,0
M Vohra,0,0
DA Warner,0,0
Washington Sundar,8,6.16
SR Watson,5,9.13
KS Williamson,0,0
CR Woakes,17,8.77
J Yadav,0,7
SA Yadav,0,0
UT Yadav,17,8.45
Yuvraj Singh,1,11
A Zampa,7,8.21
